Loja;MEM;Mega
59;233448;227,9765625
88;234540;229,0429688
103;234540;229,0429688
109;234540;229,0429688
25;234944;229,4375
115;234944;229,4375
117;234944;229,4375
113;495400;483,7890625
113;495400;483,7890625
128;495400;483,7890625
135;495400;483,7890625
141;495400;483,7890625
142;495400;483,7890625
126;496896;485,25
127;496896;485,25
129;496896;485,25
131;496896;485,25
131;496896;485,25
1;913800;892,3828125
1;913800;892,3828125
8;913800;892,3828125
21;913800;892,3828125
41;913800;892,3828125
41;913800;892,3828125
45;913800;892,3828125
45;913800;892,3828125
45;913800;892,3828125
45;913800;892,3828125
58;913800;892,3828125
77;913800;892,3828125
108;913800;892,3828125
119;913800;892,3828125
190;913800;892,3828125
199;913800;892,3828125
236;913800;892,3828125
236;913800;892,3828125
271;913800;892,3828125
286;913800;892,3828125
323;913800;892,3828125
355;913800;892,3828125
4;913816;892,3984375
9;913816;892,3984375
26;913816;892,3984375
35;913816;892,3984375
37;913816;892,3984375
46;913816;892
48;913816;892,3984375
52;913816;892,3984375
72;913816;892,3984375
72;913816;892,3984375
115;913816;892,3984375
118;913816;892,3984375
126;913816;892,3984375
172;913816;892,3984375
269;913816;892,3984375
40;913824;892,40625
61;913824;892,40625
89;913824;892,40625
89;913824;892,40625
89;914356;892,9257813
98;914372;892,9414063
171;914372;892,9414063
41;914400;892,96875
193;963024;940,453125
66;963036;940,4648438
72;963036;940,4648438
108;963036;940,4648438
127;963036;940,4648438
166;963036;940,4648438
176;963036;940,4648438
176;963036;940,4648438
179;963036;940,4648438
185;963036;940,4648438
185;963036;940,4648438
185;963036;940,4648438
185;963036;940,4648438
186;963036;940,4648438
186;963036;940,4648438
186;963036;940,4648438
230;963036;940,4648438
230;963036;940,4648438
231;963036;940,4648438
231;963036;940,4648438
231;963036;940,4648438
237;963036;940,4648438
237;963036;940,4648438
239;963036;940,4648438
239;963036;940,4648438
239;963036;940,4648438
239;963036;940,4648438
244;963036;940,4648438
244;963036;940,4648438
1;988552;965,3828125
52;988552;965,3828125
59;988552;965,3828125
59;988552;965,3828125
68;988552;965,3828125
78;988552;965,3828125
143;988552;965,3828125
143;988552;965,3828125
143;988552;965,3828125
143;988552;965,3828125
148;988552;965,3828125
148;988552;965,3828125
149;988552;965,3828125
153;988552;965,3828125
154;988552;965,3828125
154;988552;965,3828125
154;988552;965,3828125
154;988552;965,3828125
155;988552;965,3828125
156;988552;965,3828125
156;988552;965,3828125
156;988552;965,3828125
156;988552;965,3828125
157;988552;965,3828125
157;988552;965,3828125
157;988552;965,3828125
158;988552;965,3828125
158;988552;965,3828125
158;988552;965,3828125
158;988552;965,3828125
161;988552;965,3828125
167;988552;965,3828125
172;988552;965,3828125
172;988552;965,3828125
172;988552;965,3828125
173;988552;965,3828125
173;988552;965,3828125
173;988552;965,3828125
173;988552;965,3828125
173;988552;965,3828125
174;988552;965,3828125
174;988552;965,3828125
177;988552;965,3828125
177;988552;965,3828125
178;988552;965,3828125
178;988552;965,3828125
179;988552;965,3828125
180;988552;965,3828125
180;988552;965,3828125
180;988552;965,3828125
183;988552;965,3828125
183;988552;965,3828125
183;988552;965,3828125
189;988552;965,3828125
189;988552;965,3828125
189;988552;965,3828125
189;988552;965,3828125
189;988552;965,3828125
191;988552;965,3828125
191;988552;965,3828125
191;988552;965,3828125
193;988552;965,3828125
194;988552;965,3828125
195;988552;965,3828125
195;988552;965,3828125
197;988552;965,3828125
197;988552;965,3828125
197;988552;965,3828125
198;988552;965,3828125
198;988552;965,3828125
198;988552;965,3828125
230;988552;965,3828125
230;988552;965,3828125
269;988552;965,3828125
273;988552;965,3828125
172;988780;965,6054688
135;1014124;990,3554688
135;1014124;990,3554688
139;1014124;990,3554688
150;1014124;990,3554688
150;1014124;990,3554688
153;1014124;990,3554688
163;1014124;990,3554688
168;1014124;990,3554688
168;1014124;990,3554688
168;1014124;990,3554688
131;1015620;991,8164063
87;1015648;991,84375
115;1887148;1842,917969
21;1887156;1842,925781
167;1887160;1842,929688
194;1887172;1842,941406
101;1943984;1898,421875
306;1943984;1898,421875
385;1945528;1899,929688
2;1947528;1901,882813
3;1947528;1901,882813
4;1947528;1901,882813
18;1947528;1901,882813
18;1947528;1901,882813
30;1947528;1901,882813
31;1947528;1901,882813
39;1947528;1901,882813
42;1947528;1901,882813
52;1947528;1901,882813
73;1947528;1901,882813
101;1947528;1901,882813
121;1947528;1901,882813
250;1947528;1901,882813
250;1947528;1901,882813
252;1947528;1901,882813
256;1947528;1901,882813
257;1947528;1901,882813
257;1947528;1901,882813
259;1947528;1901,882813
259;1947528;1901,882813
259;1947528;1901,882813
262;1947528;1901,882813
262;1947528;1901,882813
262;1947528;1901,882813
262;1947528;1901,882813
262;1947528;1901,882813
266;1947528;1901,882813
266;1947528;1901,882813
268;1947528;1901,882813
268;1947528;1901,882813
268;1947528;1901,882813
268;1947528;1901,882813
268;1947528;1901,882813
268;1947528;1901,882813
273;1947528;1901,882813
273;1947528;1901,882813
275;1947528;1901,882813
275;1947528;1901,882813
275;1947528;1901,882813
277;1947528;1901,882813
277;1947528;1901,882813
277;1947528;1901,882813
277;1947528;1901,882813
277;1947528;1901,882813
278;1947528;1901,882813
278;1947528;1901,882813
279;1947528;1901,882813
279;1947528;1901,882813
279;1947528;1901,882813
280;1947528;1901,882813
281;1947528;1901,882813
281;1947528;1901,882813
281;1947528;1901,882813
281;1947528;1901,882813
282;1947528;1901,882813
282;1947528;1901,882813
282;1947528;1901,882813
283;1947528;1901,882813
285;1947528;1901,882813
285;1947528;1901,882813
285;1947528;1901,882813
285;1947528;1901,882813
285;1947528;1901,882813
285;1947528;1901,882813
286;1947528;1901,882813
288;1947528;1901,882813
290;1947528;1901,882813
290;1947528;1901,882813
292;1947528;1901,882813
295;1947528;1901,882813
297;1947528;1901,882813
297;1947528;1901,882813
300;1947528;1901,882813
300;1947528;1901,882813
318;1947528;1901,882813
318;1947528;1901,882813
355;1947528;1901,882813
355;1947528;1901,882813
355;1947528;1901,882813
355;1947528;1901,882813
355;1947528;1901,882813
400;1947528;1901,882813
18;1947536;1901,890625
49;1947536;1901,890625
52;1947536;1901,890625
66;1947536;1901,890625
69;1947536;1901,890625
72;1947536;1901,890625
191;1947536;1901,890625
256;1947536;1901,890625
260;1947536;1901,890625
285;1947536;1901,890625
5;1947544;1901,898438
39;1947544;1901,898438
121;1947544;1901,898438
126;1947544;1901,898438
126;1947544;1901,898438
147;1947544;1901,898438
147;1947544;1901,898438
256;1947544;1901,898438
257;1947544;1901,898438
259;1947544;1901,898438
259;1947544;1901,898438
260;1947544;1901,898438
268;1947544;1901,898438
273;1947544;1901,898438
275;1947544;1901,898438
277;1947544;1901,898438
281;1947544;1901,898438
282;1947544;1901,898438
285;1947544;1901,898438
285;1947544;1901,898438
285;1947544;1901,898438
290;1947544;1901,898438
85;1947548;1901,902344
3;1947552;1901,90625
5;1947552;1901,90625
22;1947552;1901,90625
27;1947552;1901,90625
35;1947552;1901,90625
37;1947552;1901,90625
47;1947552;1901,90625
59;1947552;1901,90625
60;1947552;1901,90625
61;1947552;1901,90625
72;1947552;1901,90625
76;1947552;1901,90625
85;1947552;1901,90625
85;1947552;1901,90625
86;1947552;1901,90625
91;1947552;1901,90625
92;1947552;1901,90625
98;1947552;1901,90625
107;1947552;1901,90625
109;1947552;1901,90625
126;1947552;1901,90625
189;1947552;1901,90625
256;1947552;1901,90625
257;1947552;1901,90625
266;1947552;1901,90625
277;1947552;1901,90625
282;1947552;1901,90625
282;1947552;1901,90625
286;1947552;1901,90625
290;1947552;1901,90625
42;1947556;1901,910156
283;1947556;1901,910156
288;1947556;1901,910156
38;1947564;1901,917969
118;1947564;1901,917969
73;1947580;1901,933594
257;1947596;1901,949219
275;1947596;1901,949219
18;1947620;1901,972656
